house_or_senate,sector_name,bill_id
S,Homeland Security and Governmental Affairs,S.J.Res. 4
S,Homeland Security and Governmental Affairs,S.Con.Res. 4
S,Indian Affairs,S. 254
S,Indian Affairs,S. 39
S,Indian Affairs,S. 249
S,Indian Affairs,S. 245
S,Indian Affairs,S. 269
S,Indian Affairs,S. 140
S,Indian Affairs,S. 302
S,Indian Affairs,S. 63
S,Indian Affairs,S. 91
S,Indian Affairs,S. 343
S,Indian Affairs,S. 304
S,Indian Affairs,S. 465
S,Indian Affairs,S. 458
S,Indian Affairs,S. 381
S,Indian Affairs,S.Res. 36
S,Intelligence,S. 133
S,Intelligence,S. 291
S,Intelligence,S.Res. 48
S,the Judiciary,S. 178
S,the Judiciary,H.R. 387
S,the Judiciary,S.Res. 55
S,the Judiciary,S.Res. 45
S,the Judiciary,S.Res. 44
S,the Judiciary,S.Res. 27
S,the Judiciary,S.Con.Res. 5
S,the Judiciary,S.Res. 64
S,the Judiciary,S.Res. 29
S,the Judiciary,S.Res. 25
S,the Judiciary,S. 419
S,the Judiciary,S.Res. 76
S,the Judiciary,S.Res. 70
S,the Judiciary,S.Res. 38
S,the Judiciary,S.Res. 28
S,the Judiciary,S. 139
S,the Judiciary,S. 45
S,the Judiciary,S.Res. 71
S,the Judiciary,S. 231
S,the Judiciary,S. 90
S,the Judiciary,S. 378
S,the Judiciary,S. 232
S,the Judiciary,S.Res. 60
S,the Judiciary,S.Res. 56
S,the Judiciary,S. 333
S,the Judiciary,S. 494
S,the Judiciary,S. 386
S,the Judiciary,S. 354
S,the Judiciary,S. 510
S,the Judiciary,S. 522
S,the Judiciary,S. 511
S,the Judiciary,S. 281
S,the Judiciary,S. 411
S,the Judiciary,S. 415
S,the Judiciary,S. 303
S,the Judiciary,S. 240
S,the Judiciary,S. 248
S,the Judiciary,S. 229
S,the Judiciary,S. 72
S,the Judiciary,S. 54
S,the Judiciary,S. 220
S,the Judiciary,S. 207
S,the Judiciary,S. 87
S,the Judiciary,S. 197
S,the Judiciary,S. 237
S,the Judiciary,S. 259
S,the Judiciary,S. 30
S,the Judiciary,S. 150
S,the Judiciary,S. 182
S,the Judiciary,S. 104
S,the Judiciary,S. 406
S,the Judiciary,S. 349
S,the Judiciary,S. 128
S,the Judiciary,S. 446
S,the Judiciary,S. 361
S,the Judiciary,S. 224
S,the Judiciary,S. 202
S,the Judiciary,S. 367
S,the Judiciary,S. 119
S,the Judiciary,S. 124
S,the Judiciary,S. 395
S,the Judiciary,S. 36
S,the Judiciary,S. 51
S,the Judiciary,S. 329
S,the Judiciary,S. 328
S,the Judiciary,S. 318
S,the Judiciary,S. 276
S,the Judiciary,S. 296
S,the Judiciary,S. 295
S,the Judiciary,S. 211
S,the Judiciary,S. 180
S,the Judiciary,S. 179
S,the Judiciary,S. 151
S,the Judiciary,S. 127
S,the Judiciary,S. 258
S,the Judiciary,S. 52
S,the Judiciary,S. 330
S,the Judiciary,S. 209
S,the Judiciary,S. 37
S,the Judiciary,S. 460
S,the Judiciary,S.J.Res. 24
S,the Judiciary,S.Res. 13
S,the Judiciary,S. 433
S,the Judiciary,S. 388
S,the Judiciary,S.J.Res. 22
S,the Judiciary,S.J.Res. 20
S,the Judiciary,S.J.Res. 7
S,the Judiciary,S.J.Res. 8
S,the Judiciary,S.J.Res. 6
S,the Judiciary,S.J.Res. 5
S,the Judiciary,S. 187
S,the Judiciary,S.Res. 21
S,the Judiciary,S.J.Res. 3
S,the Judiciary,S.J.Res. 2
S,Rules and Administration,S.Res. 62
S,Rules and Administration,S. 402
S,Rules and Administration,S. 27
S,Rules and Administration,S. 298
S,Rules and Administration,S.Res. 53
S,Rules and Administration,S.Res. 42
S,Rules and Administration,S.Res. 31
S,Rules and Administration,S.Res. 32
S,Rules and Administration,S.Res. 36
S,Rules and Administration,S.Res. 23
S,Rules and Administration,S.Res. 22
S,Rules and Administration,S.Res. 24
S,Rules and Administration,S. 360
S,Rules and Administration,S. 26
S,Rules and Administration,S.J.Res. 30
S,Rules and Administration,S.Res. 52
S,Rules and Administration,S.Res. 48
S,Rules and Administration,S.Res. 46
S,Rules and Administration,S.Res. 33
S,Rules and Administration,S.Res. 34
S,Rules and Administration,S.Res. 30
S,Rules and Administration,S.Res. 20
S,Rules and Administration,S.Res. 37
S,Rules and Administration,S.Res. 21
S,Rules and Administration,S.Res. 39
S,Small Business and Entrepreneurship,S. 526
S,Small Business and Entrepreneurship,S. 347
S,Small Business and Entrepreneurship,S. 416
S,Small Business and Entrepreneurship,S. 154
S,Small Business and Entrepreneurship,S. 121
S,Small Business and Entrepreneurship,S.Res. 32
S,Veterans' Affairs,H.R. 974
S,Veterans' Affairs,H.R. 609
S,Veterans' Affairs,H.R. 27
S,Veterans' Affairs,H.R. 512
S,Veterans' Affairs,H.R. 28
S,Veterans' Affairs,S. 12
S,Veterans' Affairs,S. 57
S,Veterans' Affairs,S. 324
S,Veterans' Affairs,S. 493
S,Veterans' Affairs,S. 514
S,Veterans' Affairs,S. 410
S,Veterans' Affairs,S. 473
S,Veterans' Affairs,S. 423
S,Veterans' Affairs,S. 336
S,Veterans' Affairs,S. 115
S,Veterans' Affairs,S. 112
S,Veterans' Affairs,S. 114
S,Veterans' Affairs,S. 113
S,Veterans' Affairs,S. 86
S,Veterans' Affairs,S. 75
S,Veterans' Affairs,S. 426
S,Veterans' Affairs,S. 422
S,Veterans' Affairs,S. 315
S,Veterans' Affairs,S. 319
S,Veterans' Affairs,S. 233
S,Veterans' Affairs,S.Res. 24
S,Veterans' Affairs,S. 242
S,Veterans' Affairs,S. 283
S,Veterans' Affairs,S. 369
S,Veterans' Affairs,S. 111
S,Veterans' Affairs,S. 23
S,Veterans' Affairs,S. 24
S,Veterans' Affairs,S. 152
H,Agriculture,H.R. 1029
H,Agriculture,H.R. 953
H,Agriculture,H.R. 238
H,Agriculture,H.R. 825
H,Agriculture,H.R. 382
H,Agriculture,H.R. 1238
H,Agriculture,H.R. 232
H,Agriculture,H.R. 928
H,Agriculture,H.R. 23
H,Agriculture,H.R. 831
H,Agriculture,H.R. 904
H,Agriculture,H.R. 113
H,Agriculture,H.R. 622
H,Agriculture,H.R. 995
H,Agriculture,H.R. 961
H,Agriculture,H.R. 962
H,Agriculture,H.R. 159
H,Agriculture,H.R. 1357
H,Agriculture,H.R. 1330
H,Agriculture,H.R. 1106
H,Agriculture,H.R. 800
H,Agriculture,H.Res. 170
H,Agriculture,H.R. 1177
H,Agriculture,H.R. 1276
H,Agriculture,H.R. 344
H,Agriculture,H.R. 865
H,Agriculture,H.R. 525
H,Agriculture,H.R. 861
H,Agriculture,H.R. 442
H,Agriculture,H.R. 637
H,Agriculture,H.R. 289
H,Agriculture,H.R. 1054
H,Agriculture,H.R. 51
H,Agriculture,H.R. 1163
H,Agriculture,H.R. 1141
H,Agriculture,H.R. 1078
H,Agriculture,H.R. 1189
H,Agriculture,H.R. 594
H,Agriculture,H.R. 581
H,Agriculture,H.R. 207
H,Agriculture,H.R. 316
H,Agriculture,H.R. 958
H,Agriculture,H.R. 572
H,Agriculture,H.R. 1084
H,Agriculture,H.R. 909
H,Agriculture,H.R. 574
H,Agriculture,H.R. 22
H,Appropriations,H.R. 1301
H,Appropriations,H.R. 121
H,Appropriations,H.R. 85
H,Appropriations,H.R. 87
H,Appropriations,H.R. 86
H,Appropriations,H.R. 966
H,Appropriations,H.R. 379
H,Appropriations,H.R. 753
H,Appropriations,H.R. 370
